===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               8192
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               262144
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	50:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	51:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	52:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	53:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	54:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	55:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	56:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	57:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	58:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	59:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	60:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	61:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	62:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	63:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	64:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	65:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	66:	8006 D	  800a D	  8027 D	  8476  	  0  	  0  	  0  	  0  	  
Set	67:	8006 D	  800a D	  8476 D	  0  	  0  	  0  	  0  	  0  	  
Set	68:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	69:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	70:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	71:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	72:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	73:	8006 D	  800a D	  8027 D	  0  	  0  	  0  	  0  	  0  	  
Set	74:	8006 D	  800a D	  8027 D	  0  	  0  	  0  	  0  	  0  	  
Set	75:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	76:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	77:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	78:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	79:	8006 D	  800a D	  8476 D	  0  	  0  	  0  	  0  	  0  	  
Set	80:	8006 D	  800a D	  8476 D	  0  	  0  	  0  	  0  	  0  	  
Set	81:	8006 D	  800a D	  8476 D	  0  	  0  	  0  	  0  	  0  	  
Set	82:	8006 D	  800a D	  8476 D	  0  	  0  	  0  	  0  	  0  	  
Set	83:	8006 D	  800a D	  8476 D	  1bf  	  0  	  0  	  0  	  0  	  
Set	84:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	85:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	86:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	87:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	88:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	89:	8006 D	  800a D	  8027 D	  0  	  0  	  0  	  0  	  0  	  
Set	90:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	91:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	92:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	93:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	94:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	95:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	96:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	97:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	98:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	99:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	100:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	101:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	102:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	103:	8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	104:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	105:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	106:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	107:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	108:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	109:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	110:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	111:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	112:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	113:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	114:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	115:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	116:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	117:	8006 D	  800a D	  8027 D	  0  	  0  	  0  	  0  	  0  	  
Set	118:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	119:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	120:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	121:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	122:	8006 D	  800a D	  8027 D	  0  	  0  	  0  	  0  	  0  	  
Set	123:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	124:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	125:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	126:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	127:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	128:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	129:	8006 D	  800a D	  8027  	  0  	  0  	  0  	  0  	  0  	  
Set	130:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	131:	8006 D	  800a D	  8027  	  0  	  0  	  0  	  0  	  0  	  
Set	132:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	133:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	134:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	135:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	136:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	137:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	138:	8006 D	  800a D	  846b  	  0  	  0  	  0  	  0  	  0  	  
Set	139:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	140:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	141:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	142:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	143:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	144:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	145:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	146:	8005  	  8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  
Set	147:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	148:	8005  	  8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  
Set	149:	8000  	  8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  
Set	150:	8000  	  800a D	  8006 D	  0  	  0  	  0  	  0  	  0  	  
Set	151:	8000  	  8005  	  800a D	  8006 D	  0  	  0  	  0  	  0  	  
Set	152:	8000  	  8005  	  800a D	  8006 D	  0  	  0  	  0  	  0  	  
Set	153:	8000  	  800a D	  8006 D	  0  	  0  	  0  	  0  	  0  	  
Set	154:	8000  	  800a D	  8006 D	  0  	  0  	  0  	  0  	  0  	  
Set	155:	8000  	  800a D	  8006 D	  0  	  0  	  0  	  0  	  0  	  
Set	156:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	157:	800a D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	158:	800a D	  8007 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	159:	800a D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	160:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	161:	800a D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	162:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	163:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	164:	800a D	  8007 D	  8006  	  0  	  0  	  0  	  0  	  0  	  
Set	165:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	166:	8006  	  800a  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	167:	800a D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	168:	800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	169:	800a D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	170:	800a D	  8027 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	171:	800a D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	172:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	173:	800a D	  8000  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	174:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	175:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	176:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	177:	800a  	  8027  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	178:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	179:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	180:	800a D	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	181:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	182:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	183:	800a D	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	184:	800a D	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	185:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	186:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	187:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	188:	800a D	  8006 D	  8027  	  0  	  0  	  0  	  0  	  0  	  
Set	189:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	190:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	191:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	192:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	193:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	194:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	195:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	196:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	197:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	198:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	199:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	200:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	201:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	202:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	203:	800a  	  8027 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	204:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	205:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	206:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	207:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	208:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	209:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	210:	800a  	  8027  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	211:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	212:	800a  	  8027  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	213:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	214:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	215:	800a  	  8004 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	216:	800a  	  1bf  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	217:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	218:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	219:	800a  	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	220:	800a  	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	221:	800a  	  8006  	  8004  	  8027  	  0  	  0  	  0  	  0  	  
Set	222:	800a  	  8006  	  8004  	  0  	  0  	  0  	  0  	  0  	  
Set	223:	8006  	  800a  	  8004  	  0  	  0  	  0  	  0  	  0  	  
Set	224:	800a  	  8004  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	225:	800a  	  8004  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	226:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	227:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	228:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	229:	800a  	  8027  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	230:	1bf  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	231:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	232:	800a D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	233:	800a D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	234:	800a D	  8004  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	235:	800a D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	236:	800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	237:	800a D	  8027  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	238:	800a D	  8027 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	239:	800a D	  846a  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	240:	8007  	  800a D	  846a  	  0  	  0  	  0  	  0  	  0  	  
Set	241:	800a D	  846a  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	242:	846a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	243:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	244:	8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	245:	8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	246:	8007 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	247:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	248:	1bf  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	249:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	250:	8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	251:	8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	252:	8006  	  8000  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	253:	8006 D	  8000  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	254:	8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	255:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	256:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	257:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	258:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	259:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	260:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	261:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	262:	8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	263:	8000  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	264:	8000  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	265:	8000  	  8427  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	266:	8000  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	267:	8006 D	  8000  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	268:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	269:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	270:	8007 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	271:	8007 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	272:	8007  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	273:	8007  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	274:	8007 D	  8427  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	275:	8007 D	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	276:	8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	277:	1bf  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
