===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               65536
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               32768
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	10015 D	  1000c D	  10011 D	  1000d D	  
Set	133:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	134:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	135:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	136:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	137:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	138:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	139:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	140:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	141:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	142:	1000d D	  10015 D	  1000c D	  1000f D	  
Set	143:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	144:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	145:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	146:	1000a  	  10015 D	  1000c D	  1000f D	  
Set	147:	10015 D	  1000c D	  1000f D	  10014 D	  
Set	148:	1000a  	  1000b D	  10015 D	  1000c D	  
Set	149:	10000  	  10015 D	  1000c D	  1000f D	  
Set	150:	10000  	  10014 D	  10015 D	  1000c D	  
Set	151:	10000  	  1000a  	  10014 D	  10015 D	  
Set	152:	10000  	  1000a  	  10014 D	  10015 D	  
Set	153:	10000  	  10014 D	  10015 D	  1000c D	  
Set	154:	10000  	  10014 D	  10015 D	  1000c D	  
Set	155:	10000  	  10014 D	  10015 D	  1000c D	  
Set	156:	1000c D	  10014 D	  10015 D	  1000f D	  
Set	157:	10014 D	  10015 D	  1000f D	  108d5  	  
Set	158:	10014 D	  10015 D	  1000f D	  1000e D	  
Set	159:	1000d D	  10014 D	  10015 D	  1000f D	  
Set	160:	1000c  	  10014 D	  10015 D	  1000f D	  
Set	161:	10014 D	  10015 D	  1000f D	  0  	  
Set	162:	1000c  	  10014 D	  10015 D	  1000f D	  
Set	163:	1000c  	  10014 D	  10015 D	  1000f D	  
Set	164:	1000c  	  10014 D	  10015 D	  1000e D	  
Set	165:	1000c  	  10014 D	  10015 D	  1000f D	  
Set	166:	1000c  	  10014 D	  10015 D	  1000f D	  
Set	167:	10014 D	  10015 D	  1000f D	  108d5 D	  
Set	168:	1000d  	  10014 D	  10015 D	  1000f D	  
Set	169:	1000d  	  10014 D	  10015 D	  1000f D	  
Set	170:	1000d  	  10014 D	  10015 D	  1000f D	  
Set	171:	1000d  	  10014 D	  10015 D	  1000f D	  
Set	172:	1000d  	  1000c D	  10014 D	  10015 D	  
Set	173:	10014 D	  10015 D	  1000f D	  10000  	  
Set	174:	10014 D	  10015 D	  1000f D	  108d5  	  
Set	175:	10014 D	  10015 D	  1000f D	  108d5  	  
Set	176:	1000d  	  10014 D	  10015 D	  1000f D	  
Set	177:	10014 D	  10015 D	  1000f D	  1004e  	  
Set	178:	10014 D	  10015 D	  1000f D	  108d5  	  
Set	179:	10014 D	  10015 D	  1000f D	  108d5  	  
Set	180:	10014 D	  10015 D	  1000c D	  1000f D	  
Set	181:	10014 D	  10015 D	  1000c D	  1000f D	  
Set	182:	10014 D	  10015 D	  1000c D	  1000f D	  
Set	183:	10014 D	  10015 D	  1000c D	  1000f D	  
Set	184:	10014 D	  10015 D	  1000c D	  1000f D	  
Set	185:	10014 D	  10015 D	  1000c D	  1000f D	  
Set	186:	1000d D	  10014 D	  10015 D	  1000c D	  
Set	187:	1000d D	  10014 D	  10015 D	  1000c D	  
Set	188:	1000d  	  10014 D	  10015 D	  1000c D	  
Set	189:	1000d D	  10014 D	  10015 D	  1000c D	  
Set	190:	10014 D	  10015 D	  1000c D	  1000f D	  
Set	191:	10014 D	  10015 D	  1000c D	  1000f D	  
Set	192:	10014 D	  10015 D	  1000c D	  1000f D	  
Set	193:	10014 D	  10015 D	  1000c D	  1000f D	  
Set	194:	10014 D	  1000c D	  10015 D	  1000f D	  
Set	195:	1000d D	  10014 D	  10015 D	  1000f D	  
Set	196:	10014 D	  1000d D	  10015 D	  1000f D	  
Set	197:	10014 D	  10015 D	  1000f D	  108d5  	  
Set	198:	1000d D	  10014 D	  10015 D	  1000f D	  
Set	199:	1000d  	  10014 D	  10015 D	  1000f D	  
Set	200:	10014 D	  10015 D	  1000f D	  108d5  	  
Set	201:	10014 D	  10015 D	  1000f D	  108d5  	  
Set	202:	10014 D	  10015 D	  1000f D	  108d5  	  
Set	203:	10014 D	  10015 D	  1000f D	  1004e D	  
Set	204:	10014 D	  10015 D	  1000f D	  0  	  
Set	205:	10014 D	  10015 D	  1000f D	  0  	  
Set	206:	10014 D	  10015 D	  1000f D	  1000d  	  
Set	207:	10014 D	  10015 D	  1000f D	  108d5  	  
Set	208:	10014 D	  10015 D	  1000f D	  0  	  
Set	209:	10014 D	  10015 D	  1000f D	  0  	  
Set	210:	10014 D	  10015 D	  1000f D	  1004e  	  
Set	211:	10014 D	  10015 D	  1000f D	  0  	  
Set	212:	10014 D	  1000d D	  10015 D	  1000f D	  
Set	213:	10014 D	  1000d D	  10015 D	  1000f D	  
Set	214:	10014 D	  1000d D	  10015 D	  1000f D	  
Set	215:	10014 D	  10015 D	  1000f D	  10008 D	  
Set	216:	10014 D	  10015 D	  1000f D	  37e  	  
Set	217:	10014 D	  10015 D	  1000f D	  0  	  
Set	218:	10014 D	  10015 D	  1000f D	  0  	  
Set	219:	10014 D	  1000c D	  10015 D	  1000f D	  
Set	220:	10014 D	  1000c D	  1000d D	  10015 D	  
Set	221:	10014 D	  1000c D	  10015 D	  1000f D	  
Set	222:	1000c D	  10014 D	  1000d D	  10015 D	  
Set	223:	1000c D	  10014 D	  1000d D	  10015 D	  
Set	224:	10014 D	  10015 D	  1000f D	  10008  	  
Set	225:	10014 D	  10015 D	  1000d D	  1000f D	  
Set	226:	10014 D	  10015 D	  1000f D	  0  	  
Set	227:	10014 D	  10015 D	  1000f D	  0  	  
Set	228:	10014 D	  10015 D	  1000f D	  0  	  
Set	229:	10014 D	  10015 D	  1000f D	  1004e  	  
Set	230:	10015 D	  1000f D	  37e  	  0  	  
Set	231:	10015 D	  1000f D	  0  	  0  	  
Set	232:	10015 D	  1000f D	  10014 D	  0  	  
Set	233:	10015 D	  1000f D	  10014 D	  0  	  
Set	234:	1000d D	  10015 D	  1000f D	  10014 D	  
Set	235:	10015 D	  1000f D	  10014 D	  10013  	  
Set	236:	10015 D	  1000f D	  10014 D	  37e  	  
Set	237:	10015 D	  1000f D	  10014 D	  1004e  	  
Set	238:	10015 D	  1000f D	  10014 D	  1004e D	  
Set	239:	10015 D	  1000f D	  10014 D	  108d4  	  
Set	240:	1000e  	  10015 D	  1000f D	  10014 D	  
Set	241:	10015 D	  1000f D	  10014 D	  108d4  	  
Set	242:	10015 D	  1000f D	  108d4  	  0  	  
Set	243:	10015 D	  1000f D	  0  	  0  	  
Set	244:	1000c D	  10015 D	  1000f D	  0  	  
Set	245:	1000c D	  10015 D	  1000f D	  10013  	  
Set	246:	10015 D	  1000e D	  1000f D	  10013  	  
Set	247:	1000d D	  10015 D	  1000f D	  0  	  
Set	248:	10015 D	  1000f D	  37e  	  0  	  
Set	249:	10015 D	  1000f D	  0  	  0  	  
Set	250:	1000c D	  10015 D	  1000f D	  0  	  
Set	251:	10015 D	  1000f D	  1000c D	  0  	  
Set	252:	1000c D	  1000d D	  10015 D	  1000f D	  
Set	253:	1000d D	  10015 D	  1000f D	  1000c D	  
Set	254:	10015 D	  1000f D	  1000c D	  10013  	  
Set	255:	10015 D	  1000f D	  10013  	  0  	  
Set	256:	10015 D	  1000f D	  0  	  0  	  
Set	257:	10015 D	  1000f D	  10013 D	  0  	  
Set	258:	10015 D	  1000f D	  108eb  	  0  	  
Set	259:	1000d D	  10015 D	  1000f D	  0  	  
Set	260:	10015 D	  1000f D	  10013 D	  0  	  
Set	261:	10015 D	  1000f D	  10013 D	  0  	  
Set	262:	10015 D	  1000f D	  1000c D	  10013 D	  
Set	263:	10015 D	  1000f D	  10013 D	  10000  	  
Set	264:	10015 D	  1000f D	  10013 D	  10000  	  
Set	265:	10015 D	  1000f D	  10013 D	  10000  	  
Set	266:	10015 D	  1000f D	  10013 D	  10000  	  
Set	267:	10015 D	  1000f D	  1000c D	  10013 D	  
Set	268:	10015 D	  1000f D	  10013 D	  0  	  
Set	269:	10015 D	  1000f D	  10013 D	  0  	  
Set	270:	1000e D	  10015 D	  1000f D	  10013 D	  
Set	271:	10015 D	  1000f D	  1000e D	  10013 D	  
Set	272:	1000e D	  10015 D	  1000f D	  10013 D	  
Set	273:	1000e D	  10015 D	  1000f D	  10013 D	  
Set	274:	10015 D	  1000f D	  1000e D	  10013 D	  
Set	275:	10015 D	  1000f D	  1000e D	  1000c D	  
Set	276:	10015 D	  1000f D	  1000c D	  10013 D	  
Set	277:	1000f D	  10013 D	  37e  	  0  	  
Set	278:	1000f D	  10013 D	  37e  	  0  	  
Set	279:	1000f D	  10013 D	  0  	  0  	  
Set	280:	1000f D	  1000c D	  10013 D	  0  	  
Set	281:	1000f D	  1000c D	  10013 D	  0  	  
Set	282:	1000f D	  1000c D	  10013 D	  1000d D	  
Set	283:	1000f D	  1000c D	  10013 D	  0  	  
Set	284:	1000f D	  10013 D	  10000 D	  0  	  
Set	285:	1000e D	  1000f D	  1000c D	  10013 D	  
Set	286:	1000f D	  10013 D	  0  	  0  	  
Set	287:	1000e D	  1000f D	  10013 D	  0  	  
Set	288:	1000f D	  1000c D	  10013 D	  108eb  	  
Set	289:	1000f D	  10013 D	  1004d  	  108eb D	  
Set	290:	1000f D	  1000c D	  10013 D	  0  	  
Set	291:	1000f D	  10013 D	  10000  	  108eb  	  
Set	292:	1000f D	  1000c D	  10013 D	  10000  	  
Set	293:	1000d D	  1000f D	  1000c D	  10013 D	  
Set	294:	1000d D	  1000f D	  10013 D	  1000c D	  
Set	295:	1000d D	  1000f D	  10013 D	  0  	  
Set	296:	1000d D	  1000f D	  1000c D	  10013 D	  
Set	297:	1000d D	  1000f D	  1000c D	  10013 D	  
Set	298:	1000d D	  1000f D	  10013 D	  0  	  
Set	299:	1000d D	  10013 D	  0  	  0  	  
Set	300:	1000f D	  1000a D	  10013 D	  0  	  
Set	301:	1000d D	  1000a  	  10013 D	  0  	  
Set	302:	1000d D	  10013 D	  10000  	  0  	  
Set	303:	1000d D	  10013 D	  1000f D	  10000  	  
Set	304:	1000f D	  10013 D	  0  	  0  	  
Set	305:	1000a D	  1000f D	  1000c D	  10013 D	  
Set	306:	1000f D	  10013 D	  10010  	  1000c  	  
Set	307:	1000f D	  10013 D	  0  	  0  	  
Set	308:	1000f D	  10013 D	  0  	  0  	  
Set	309:	1000c D	  10010 D	  10013 D	  0  	  
Set	310:	10013 D	  0  	  0  	  0  	  
Set	311:	10013 D	  10011 D	  37e  	  10000  	  
Set	312:	10011 D	  10013 D	  0  	  0  	  
Set	313:	10013 D	  1000c D	  0  	  0  	  
Set	314:	10013 D	  0  	  0  	  0  	  
Set	315:	10013 D	  0  	  0  	  0  	  
Set	316:	1000a D	  1000c D	  10013 D	  0  	  
Set	317:	1000d D	  10013 D	  0  	  0  	  
Set	318:	1000d D	  1000a  	  10013 D	  1004d  	  
Set	319:	1000e D	  10013 D	  0  	  0  	  
Set	320:	1000f D	  1000a D	  10013 D	  1004d D	  
Set	321:	1000d D	  1000f D	  10013 D	  0  	  
Set	322:	10013 D	  10000  	  0  	  0  	  
Set	323:	10013 D	  0  	  0  	  0  	  
Set	324:	10010  	  10013 D	  0  	  0  	  
Set	325:	10013 D	  0  	  0  	  0  	  
Set	326:	10013 D	  0  	  0  	  0  	  
Set	327:	10013 D	  0  	  0  	  0  	  
Set	328:	10013 D	  0  	  0  	  0  	  
Set	329:	10013 D	  0  	  0  	  0  	  
Set	330:	10010 D	  1000c D	  10013 D	  0  	  
Set	331:	10010 D	  1000c D	  10013 D	  0  	  
Set	332:	1000f D	  10010 D	  1000c D	  10013 D	  
Set	333:	10010 D	  10013 D	  37e  	  0  	  
Set	334:	10010 D	  1000c D	  10013 D	  0  	  
Set	335:	10010 D	  10013 D	  0  	  0  	  
Set	336:	10010 D	  10013 D	  0  	  0  	  
Set	337:	10010 D	  10013 D	  0  	  0  	  
Set	338:	10010 D	  10013 D	  0  	  0  	  
Set	339:	10010 D	  1000c D	  10013 D	  0  	  
Set	340:	10010 D	  10013 D	  0  	  0  	  
Set	341:	10010 D	  10013 D	  0  	  0  	  
Set	342:	10010 D	  10013 D	  0  	  0  	  
Set	343:	10010 D	  10013 D	  0  	  0  	  
Set	344:	10010 D	  10013 D	  0  	  0  	  
Set	345:	1000d D	  10010 D	  1000c D	  10013 D	  
Set	346:	1000d D	  10010 D	  10013 D	  0  	  
Set	347:	1000d D	  10010 D	  1000c D	  10013 D	  
Set	348:	1000d D	  10010 D	  10013 D	  1000f D	  
Set	349:	1000f D	  1000d D	  10010 D	  10013 D	  
Set	350:	1000f D	  10010 D	  10013 D	  108d4  	  
Set	351:	10010 D	  1000f D	  10013 D	  108d4  	  
Set	352:	10010 D	  10013 D	  1000f D	  108eb D	  
Set	353:	10010 D	  10013 D	  1000f D	  108eb D	  
Set	354:	10010 D	  1000f D	  10013 D	  108eb D	  
Set	355:	10010 D	  10013 D	  1000f D	  1000c D	  
Set	356:	10010 D	  1000f D	  10013 D	  108eb  	  
Set	357:	10010 D	  1000c D	  10013 D	  1000f D	  
Set	358:	10010 D	  1000f D	  10013 D	  10008 D	  
Set	359:	1000f D	  10010 D	  10013 D	  0  	  
Set	360:	10010 D	  1000c D	  10013 D	  0  	  
Set	361:	10010 D	  1000c D	  10013 D	  0  	  
Set	362:	10010 D	  10013 D	  0  	  0  	  
Set	363:	10010 D	  10013 D	  0  	  0  	  
Set	364:	10010 D	  1000c D	  10013 D	  0  	  
Set	365:	10010 D	  10013 D	  0  	  0  	  
Set	366:	1000d D	  10010 D	  1000c D	  10013 D	  
Set	367:	1000d D	  10010 D	  10013 D	  10008 D	  
Set	368:	10014 D	  10010 D	  10013 D	  0  	  
Set	369:	1000d D	  10014 D	  10010 D	  10013 D	  
Set	370:	1000f D	  10014 D	  10010 D	  1000c D	  
Set	371:	10014 D	  10010 D	  10013 D	  10008 D	  
Set	372:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	373:	10014 D	  10010 D	  10013 D	  0  	  
Set	374:	10014 D	  10010 D	  10013 D	  0  	  
Set	375:	10014 D	  10010 D	  10013 D	  0  	  
Set	376:	1000f D	  10014 D	  10010 D	  1000c D	  
Set	377:	10007  	  10014 D	  10010 D	  1000c D	  
Set	378:	10007  	  10014 D	  10010 D	  10013 D	  
Set	379:	10014 D	  10010 D	  10013 D	  0  	  
Set	380:	10014 D	  10010 D	  10013 D	  0  	  
Set	381:	10007  	  10014 D	  10010 D	  10013 D	  
Set	382:	10007  	  10014 D	  10010 D	  10013 D	  
Set	383:	1000c D	  10014 D	  10010 D	  10013 D	  
Set	384:	1000c D	  10014 D	  10010 D	  10013 D	  
Set	385:	1000c D	  1000f D	  10014 D	  10010 D	  
Set	386:	1000c D	  10014 D	  10010 D	  10013 D	  
Set	387:	10014 D	  10010 D	  10013 D	  0  	  
Set	388:	10007  	  10014 D	  10010 D	  10013 D	  
Set	389:	10014 D	  10010 D	  10007  	  10013 D	  
Set	390:	10014 D	  10010 D	  10013 D	  10007  	  
Set	391:	10014 D	  10010 D	  10013 D	  10007  	  
Set	392:	10014 D	  10010 D	  10007  	  10013 D	  
Set	393:	10014 D	  10010 D	  10013 D	  0  	  
Set	394:	10014 D	  10010 D	  10013 D	  10007  	  
Set	395:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	396:	10007  	  10014 D	  10010 D	  10013 D	  
Set	397:	10014 D	  10010 D	  1000c  	  10013 D	  
Set	398:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	399:	1000f D	  10014 D	  10010 D	  1000c D	  
Set	400:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	401:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	402:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	403:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	404:	10007  	  10014 D	  10010 D	  1000c D	  
Set	405:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	406:	10007  	  10014 D	  10010 D	  1000c D	  
Set	407:	10007  	  10014 D	  10010 D	  1000c D	  
Set	408:	10007  	  1000b D	  10014 D	  10010 D	  
Set	409:	10007  	  10014 D	  10010 D	  1000c D	  
Set	410:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	411:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	412:	1000b D	  10014 D	  10010 D	  1000c D	  
Set	413:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	414:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	415:	10010 D	  10014 D	  1000c D	  10000  	  
Set	416:	1000b D	  10014 D	  10010 D	  1000c D	  
Set	417:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	418:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	419:	1000b D	  10014 D	  10010 D	  1000c D	  
Set	420:	1000b D	  10014 D	  10010 D	  1000c D	  
Set	421:	1000b  	  10007  	  10014 D	  10010 D	  
Set	422:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	423:	10007  	  1000b D	  10010 D	  10014 D	  
Set	424:	10007  	  10014 D	  10010 D	  1000c D	  
Set	425:	10007  	  10014 D	  10010 D	  1000c D	  
Set	426:	10007  	  10014 D	  10010 D	  1000c D	  
Set	427:	10009  	  10014 D	  10010 D	  1000c D	  
Set	428:	10009  	  10014 D	  10010 D	  1000c D	  
Set	429:	10009  	  10014 D	  10010 D	  1000c D	  
Set	430:	10009  	  10014 D	  10010 D	  1000c D	  
Set	431:	10009  	  10014 D	  10010 D	  1000c D	  
Set	432:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	433:	10009  	  10007  	  10014 D	  10010 D	  
Set	434:	10009  	  10014 D	  10010 D	  1000c D	  
Set	435:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	436:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	437:	10014 D	  10010 D	  1000c D	  10013 D	  
Set	438:	10010 D	  10014 D	  1000c D	  10013 D	  
Set	439:	1000d D	  1000b D	  10014 D	  10010 D	  
Set	440:	1000b D	  1000d D	  10014 D	  10010 D	  
Set	441:	1000b D	  10014 D	  10010 D	  1000c D	  
Set	442:	10014 D	  10010 D	  1000c D	  10011  	  
Set	443:	10014 D	  1000b D	  10010 D	  1000c D	  
Set	444:	10014 D	  1000b D	  10010 D	  1000c D	  
Set	445:	10014 D	  1000b D	  10010 D	  1000c D	  
Set	446:	10014 D	  1000b D	  10010 D	  1000c D	  
Set	447:	10014 D	  1000b D	  10010 D	  1000c D	  
Set	448:	10014 D	  1000b D	  10010 D	  1000c D	  
Set	449:	10014 D	  1000b D	  10010 D	  1000c D	  
Set	450:	10014 D	  1000b D	  10010 D	  1000c D	  
Set	451:	1000d D	  10014 D	  1000b D	  10010 D	  
Set	452:	10014 D	  1000b D	  10010 D	  1000c D	  
